budget_per_class,labeled_runs,pct_of_dev_labels,seed,fold,arm,F1macro,RootAlarmChrono,RootAlarmKB,RootAlarm_n
10,210,2.5,5,1,proposed,0.4101088849582,0.3184668989547038,0.38606271777003487,1435
10,210,2.5,5,2,cnn,0.4585178646665436,,,0
10,210,2.5,5,2,lookup,0.481161868255027,0.30092264017033354,0.5684882895670689,1409
10,210,2.5,5,2,proposed,0.48120625634268904,0.317923186344239,0.3492176386913229,1406
10,210,2.5,5,3,cnn,0.42465938453037166,,,0
10,210,2.5,5,3,lookup,0.43949625848586327,0.31100141043723556,0.5916784203102962,1418
10,210,2.5,5,3,proposed,0.4370629667360844,0.2904593639575972,0.37385159010600705,1415
10,210,2.5,5,4,cnn,0.316341336237328,,,0
10,210,2.5,5,4,lookup,0.3079397660537471,0.32172701949860727,0.5515320334261838,1436
10,210,2.5,5,4,proposed,0.3150797390977653,0.3231197771587744,0.43802228412256267,1436
10,210,2.5,17,0,cnn,0.4193111759152077,,,0
10,210,2.5,17,0,lookup,0.42541200929431544,0.2824267782426778,0.602510460251046,1434
10,210,2.5,17,0,proposed,0.42517620967476644,0.30286113049546404,0.3810188415910677,1433
10,210,2.5,17,1,cnn,0.4340552022026768,,,0
10,210,2.5,17,1,lookup,0.43103106936252855,0.3637640449438202,0.5737359550561798,1424
10,210,2.5,17,1,proposed,0.4272117141327348,0.3714887640449438,0.3574438202247191,1424
10,210,2.5,17,2,cnn,0.4454035574235796,,,0
10,210,2.5,17,2,lookup,0.4568028619880395,0.28818244644091223,0.590186592950933,1447
10,210,2.5,17,2,proposed,0.4603112055799172,0.3084886128364389,0.39544513457556935,1449
10,210,2.5,17,3,cnn,0.29515341519464,,,0
10,210,2.5,17,3,lookup,0.2889914694810392,0.35328046142754144,0.5710165825522711,1387
10,210,2.5,17,3,proposed,0.290460541948666,0.34967555875991346,0.37707281903388606,1387
10,210,2.5,17,4,cnn,0.26475408434889075,,,0
10,210,2.5,17,4,lookup,0.26603562094816524,0.41214285714285714,0.5614285714285714,1400
10,210,2.5,17,4,proposed,0.2681995982714718,0.41,0.45785714285714285,1400
10,210,2.5,42,0,cnn,0.4235724677030954,,,0
10,210,2.5,42,0,lookup,0.42092004607235106,0.32759856630824374,0.5906810035842294,1395
10,210,2.5,42,0,proposed,0.4212254102599886,0.3472322070452912,0.3637670740474479,1391
10,210,2.5,42,1,cnn,0.41892889540174283,,,0
10,210,2.5,42,1,lookup,0.4133101867886797,0.3280914939242316,0.5754110078627591,1399
10,210,2.5,42,1,proposed,0.42240911426890415,0.29113018597997137,0.36623748211731044,1398
10,210,2.5,42,2,cnn,0.42677623558517525,,,0
10,210,2.5,42,2,lookup,0.44028353021937977,0.30062630480167013,0.6089074460681977,1437
10,210,2.5,42,2,proposed,0.4391935526692044,0.32030704815073274,0.37613398464759246,1433
10,210,2.5,42,3,cnn,0.4231011295210706,,,0
10,210,2.5,42,3,lookup,0.4241154845255335,0.34335664335664334,0.5832167832167832,1430
10,210,2.5,42,3,proposed,0.4189985537758493,0.34401114206128136,0.35863509749303624,1436
10,210,2.5,42,4,cnn,0.3803689211318498,,,0
10,210,2.5,42,4,lookup,0.36677132866486084,0.34729241877256317,0.6194945848375452,1385
10,210,2.5,42,4,proposed,0.3684286660027669,0.330930064888248,0.37851478010093725,1387
20,420,5.0,5,0,cnn,0.46537762525430487,,,0
20,420,5.0,5,0,lookup,0.4741733428757621,0.33308823529411763,0.5926470588235294,1360
20,420,5.0,5,0,proposed,0.4711683286929833,0.3352941176470588,0.3713235294117647,1360
20,420,5.0,5,1,cnn,0.4968754650029477,,,0
20,420,5.0,5,1,lookup,0.5048751983463495,0.3497465604634323,0.6321506154960174,1381
20,420,5.0,5,1,proposed,0.503709083653632,0.3584359160028964,0.4236060825488776,1381
20,420,5.0,5,2,cnn,0.4581095157977108,,,0
20,420,5.0,5,2,lookup,0.4602433947752136,0.3671071953010279,0.6027900146842878,1362
20,420,5.0,5,2,proposed,0.46101315923213965,0.3756419662509171,0.3785766691122524,1363
20,420,5.0,5,3,cnn,0.5127097658254401,,,0
20,420,5.0,5,3,lookup,0.546111833071077,0.30703012912482064,0.6362984218077475,1394
20,420,5.0,5,3,proposed,0.5411369848827774,0.34408602150537637,0.3913978494623656,1395
20,420,5.0,5,4,cnn,0.5029855371730327,,,0
20,420,5.0,5,4,lookup,0.5238639310131399,0.34637268847795166,0.5995732574679943,1406
20,420,5.0,5,4,proposed,0.5228862079772094,0.33974358974358976,0.36894586894586895,1404
20,420,5.0,17,0,cnn,0.4753021942530796,,,0
20,420,5.0,17,0,lookup,0.48225559136929214,0.3516174402250352,0.5872011251758087,1422
20,420,5.0,17,0,proposed,0.47438892277740613,0.34739803094233473,0.360056258790436,1422
20,420,5.0,17,1,cnn,0.492308545848646,,,0
